TradeID,TransactionCodeOverrideDescription,TradeDate,SettledDate,SuperSheetDate,TradeAmount,System,DealerNum,DealerBranchBranchCode,RepCode,FirmId,FirmName,OfficeAddressLine1,OfficeCity,OfficeRegionRefCode,OfficePostalCode,PersonFirstName,PersonLastName,LineOfBusiness,Channel,Region,Territory,ProductNasdaqSymbol,ProductName,AccountTANumber,AccountId,ExternalAccountNumber,HoldingId,HoldingExternalAccountNumber,HoldingName
32147,Purchase,10-Sep-19,10-Sep-19,10-Sep-19,5168200,FIDELITY,226BWM,G12203538,G12203538,57742,AMG NATIONAL TRUST BANK,6295 GREENWOOD PLAZA BLVD,GREENWOOD VILLAGE,US-CO,80111-4908,AMG NATIONAL TRUST BANK,HOUSE ACCOUNT,Mutual Fund,RIA,West,Sindici,ARSBX,Aristotle Small Cap Equity Fund - Class I,671358363,36967,,44043,,
31503,Purchase,27-Aug-19,27-Aug-19,27-Aug-19,2315000,FIDELITY,226COR,BVD-BPD,MIC,30820,"Mill Creek Capital Advisors, LLC",161 WASHINGTON ST,CONSHOHOCKEN,US-PA,19428-2083,mill,creek,Mutual Fund,RIA,Northeast,Sindici,ARSFX,Aristotle International Equity Fund - Class I,BVDBPDMIC,6122,,6346,,Account made from rep code combination: BVD/BPD/MIC
32787,Purchase,26-Sep-19,26-Sep-19,26-Sep-19,650000,FIDELITY,226BWM,G11657931,G11657931,46182,The Northern Trust Company Of Connecticut,50 S LA SALLE ST,CHICAGO,US-IL,60603-1008,The Northern Trust Co,House Account,Mutual Fund,Institutional,Institutional,Sufi,ARSBX,Aristotle Small Cap Equity Fund - Class I,682287111,57407,,65523,,
31326,Purchase,21-Aug-19,21-Aug-19,21-Aug-19,649128.49,FIDELITY,226BWM,G12203538,G12203538,57742,AMG NATIONAL TRUST BANK,6295 GREENWOOD PLAZA BLVD,GREENWOOD VILLAGE,US-CO,80111-4908,AMG NATIONAL TRUST BANK,HOUSE ACCOUNT,Mutual Fund,RIA,West,Sindici,ARSBX,Aristotle Small Cap Equity Fund - Class I,671358380,36766,,43842,,
29443,Purchase,8-Jul-19,8-Jul-19,8-Jul-19,520066,FIDELITY,226COR,BVD-BPD,MIC,30820,"Mill Creek Capital Advisors, LLC",161 WASHINGTON ST,CONSHOHOCKEN,US-PA,19428-2083,mill,creek,Mutual Fund,RIA,Northeast,Sindici,ARSFX,Aristotle International Equity Fund - Class I,BVDBPDMIC,6122,,6346,,Account made from rep code combination: BVD/BPD/MIC
32723,Purchase,25-Sep-19,25-Sep-19,25-Sep-19,441755.42,FIDELITY,226COR,BVD-BPD,MIC,30820,"Mill Creek Capital Advisors, LLC",161 WASHINGTON ST,CONSHOHOCKEN,US-PA,19428-2083,mill,creek,Mutual Fund,RIA,Northeast,Sindici,ARSFX,Aristotle International Equity Fund - Class I,BVDBPDMIC,6122,,6346,,Account made from rep code combination: BVD/BPD/MIC
31583,Purchase,29-Aug-19,29-Aug-19,29-Aug-19,425031.5,FIDELITY,226BWM,G13570647,G13570647,55330,Midwest Trust,5901 COLLEGE BLVD,LEAWOOD,US-KS,66211-1937,Midwest Trust,House Account,Mutual Fund,Broker Dealer,House,Sindici,ARSBX,Aristotle Small Cap Equity Fund - Class I,635369900,53606,,61162,,
32804,Purchase,27-Sep-19,27-Sep-19,27-Sep-19,391018.42,FIDELITY,226BWM,G13570647,G13570647,55330,Midwest Trust,5901 COLLEGE BLVD,LEAWOOD,US-KS,66211-1937,Midwest Trust,House Account,Mutual Fund,Broker Dealer,House,Sindici,ARSBX,Aristotle Small Cap Equity Fund - Class I,635369900,53606,,61162,,
32468,Purchase,19-Sep-19,19-Sep-19,19-Sep-19,377879.71,FIDELITY,226BWM,G13570647,G13570647,55330,Midwest Trust,5901 COLLEGE BLVD,LEAWOOD,US-KS,66211-1937,Midwest Trust,House Account,Mutual Fund,Broker Dealer,House,Sindici,ARSBX,Aristotle Small Cap Equity Fund - Class I,635369900,53606,,61162,,
30165,Purchase,25-Jul-19,26-Jul-19,29-Jul-19,365900,UMB,DLJP,P3M,CVC,45511,"Telemus Capital, LLC",2 TOWNE SQ,SOUTHFIELD,US-MI,48076-3769,Gary,Ran,Mutual Fund,RIA,Midwest,Sindici,ARSQX,Aristotle Value Equity Fund - Class I,413014857,55247,P3M358252,63042,P3M358252,PERSHING LLC
32664,Purchase,24-Sep-19,24-Sep-19,24-Sep-19,347131.62,FIDELITY,226BWM,G13570647,G13570647,55330,Midwest Trust,5901 COLLEGE BLVD,LEAWOOD,US-KS,66211-1937,Midwest Trust,House Account,Mutual Fund,Broker Dealer,House,Sindici,ARSBX,Aristotle Small Cap Equity Fund - Class I,635369900,53606,,61162,,
29543,Purchase,10-Jul-19,10-Jul-19,10-Jul-19,324354.99,FIDELITY,226COR,BVD-BPD,MIC,30820,"Mill Creek Capital Advisors, LLC",161 WASHINGTON ST,CONSHOHOCKEN,US-PA,19428-2083,mill,creek,Mutual Fund,RIA,Northeast,Sindici,ARSFX,Aristotle International Equity Fund - Class I,BVDBPDMIC,6122,,6346,,Account made from rep code combination: BVD/BPD/MIC
31604,Purchase,30-Aug-19,30-Aug-19,30-Aug-19,300739.37,FIDELITY,226BWM,G13570647,G13570647,55330,Midwest Trust,5901 COLLEGE BLVD,LEAWOOD,US-KS,66211-1937,Midwest Trust,House Account,Mutual Fund,Broker Dealer,House,Sindici,ARSBX,Aristotle Small Cap Equity Fund - Class I,635369900,53606,,61162,,
31827,Purchase,6-Sep-19,6-Sep-19,6-Sep-19,299901.87,FIDELITY,226BWM,G13570647,G13570647,55330,Midwest Trust,5901 COLLEGE BLVD,LEAWOOD,US-KS,66211-1937,Midwest Trust,House Account,Mutual Fund,Broker Dealer,House,Sindici,ARSBX,Aristotle Small Cap Equity Fund - Class I,635369900,53606,,61162,,
30619,Purchase,7-Aug-19,8-Aug-19,9-Aug-19,250000,UMB,937,1,0,55514,FIDUCIARY TRUST COMPANY INTERNATIONAL,600 5TH AVE,NEW YORK,US-NY,10020-2302,Fiduciary Trust Company International,House Account,Mutual Fund,RIA,House,House,ARSQX,Aristotle Value Equity Fund - Class I,413003082,10525,2,17401,2,CURRIE   COC O FIDUCIARY TRUST COMPANY INTLPO BOX 3199
31082,Purchase,13-Aug-19,14-Aug-19,15-Aug-19,242839.94,UMB,3107,999999,999999,46662,Tiaa-cref Trust Company  Fsb,8500 ANDREW CARNEGIE BLVD,CHARLOTTE,US-NC,28262-8500,Tiaa-cref Trust Company Fsb,Charlotte NC House Account,Mutual Fund,Institutional,Institutional,Sufi,ARSFX,Aristotle International Equity Fund - Class I,413014705,54249,UNKNOWN,61905,UNKNOWN,TIAA  FSB CUST TTEE FBORETIREMENT PLANS FOR WHICHTIAA ACTS AS RECORDKEEPER
29503,Purchase,9-Jul-19,9-Jul-19,9-Jul-19,240742.19,FIDELITY,226COR,BVD-BPD,MIC,30820,"Mill Creek Capital Advisors, LLC",161 WASHINGTON ST,CONSHOHOCKEN,US-PA,19428-2083,mill,creek,Mutual Fund,RIA,Northeast,Sindici,ARSFX,Aristotle International Equity Fund - Class I,BVDBPDMIC,6122,,6346,,Account made from rep code combination: BVD/BPD/MIC
32239,Purchase,11-Sep-19,12-Sep-19,13-Sep-19,230904.38,UMB,5972,999999,999999,48463,Vanguard Marketing Corporation,100 VANGUARD BLVD,MALVERN,US-PA,19355-2331,Vanguard Marketing Corporation,House Account,Mutual Fund,Institutional,Institutional,Manley,ARSBX,Aristotle Small Cap Equity Fund - Class I,413014717,54248,UNKNOWN,61904,UNKNOWN,VANGUARD FIDUCIARY TRUST COMPANYFBO INL EMPLOYEE INVESTMENT PLANATTN  INVESTMENT SERVICES
31325,Purchase,21-Aug-19,21-Aug-19,21-Aug-19,201033.34,FIDELITY,226BWM,G12203538,G12203538,57742,AMG NATIONAL TRUST BANK,6295 GREENWOOD PLAZA BLVD,GREENWOOD VILLAGE,US-CO,80111-4908,AMG NATIONAL TRUST BANK,HOUSE ACCOUNT,Mutual Fund,RIA,West,Sindici,ARSBX,Aristotle Small Cap Equity Fund - Class I,671358363,36967,,44043,,
29747,Purchase,17-Jul-19,18-Jul-19,17-Jul-19,200000,SCHWABPORTAL,0164FA,009KD04W1XE,009KD04W1XE,42670,"Solaris Advisors, LLC",645 MADISON AVE,NEW YORK,US-NY,10022-1010,SOLARIS ADVISORS LLC,HOUSE ACCOUNT,Mutual Fund,RIA,Northeast,Sindici,ARSQX,Aristotle Value Equity Fund - Class I,009KD07E2N3,55146,,62902,413000225,
30405,Purchase,31-Jul-19,31-Jul-19,31-Jul-19,200000,FIDELITY,226RIA,G16656996,G16656996,22596,CERITY PARTNERS LLC,335 MADISON AVE,NEW YORK,US-NY,10017-4611,Cerity Partners LLC,House Account,Mutual Fund,RIA,Northeast,Sindici,ARSLX,Aristotle Core Equity Fund - Class I,676292662,55346,,63122,,
32864,Purchase,30-Sep-19,1-Oct-19,30-Sep-19,199985,SCHWABPORTAL,0164FA,009KD04Z2ZI,009KD04Z2ZI,22596,CERITY PARTNERS LLC,335 MADISON AVE,NEW YORK,US-NY,10017-4611,Cerity Partners LLC,House Account,Mutual Fund,RIA,Northeast,Sindici,ARSLX,Aristotle Core Equity Fund - Class I,009KD0VCGCN,57466,,65582,413000225,
31364,Purchase,22-Aug-19,22-Aug-19,22-Aug-19,198410.08,FIDELITY,226BWM,G13570647,G13570647,55330,Midwest Trust,5901 COLLEGE BLVD,LEAWOOD,US-KS,66211-1937,Midwest Trust,House Account,Mutual Fund,Broker Dealer,House,House,ARSBX,Aristotle Small Cap Equity Fund - Class I,635369900,53606,,61162,,
31823,Purchase,6-Sep-19,6-Sep-19,6-Sep-19,184768.31,FIDELITY,226COR,BVD-BPD,MIC,30820,"Mill Creek Capital Advisors, LLC",161 WASHINGTON ST,CONSHOHOCKEN,US-PA,19428-2083,mill,creek,Mutual Fund,RIA,Northeast,Sindici,ARSFX,Aristotle International Equity Fund - Class I,BVDBPDMIC,6122,,6346,,Account made from rep code combination: BVD/BPD/MIC
30664,Purchase,9-Aug-19,9-Aug-19,9-Aug-19,178725.79,FIDELITY,226BWM,G13570647,G13570647,55330,Midwest Trust,5901 COLLEGE BLVD,LEAWOOD,US-KS,66211-1937,Midwest Trust,House Account,Mutual Fund,Broker Dealer,House,House,ARSBX,Aristotle Small Cap Equity Fund - Class I,635369900,53606,,61162,,
30256,Purchase,25-Jul-19,26-Jul-19,29-Jul-19,178400,UMB,DLJP,P3M,CVS,45511,"Telemus Capital, LLC",2 TOWNE SQ,SOUTHFIELD,US-MI,48076-3769,Joshua,Levine,Mutual Fund,RIA,Midwest,Sindici,ARSQX,Aristotle Value Equity Fund - Class I,413012143,51098,P3M350861,58225,P3M350861,PERSHING LLC
